Ti,Te,Rdif,Rdir,precip,ws,wd
21.7,-5.2,0.0,0.0,0.0,8.7,40.0
21.7,-5.3,0.0,0.0,0.0,8.2,40.0
21.7,-5.5,0.0,0.0,0.0,8.2,50.0
21.75,-5.3,0.0,0.0,0.0,8.7,40.0
21.85,-5.2,0.0,0.0,0.0,8.2,40.0
21.85,-5.3,0.0,0.0,0.0,8.7,40.0
21.75,-5.7,0.0,0.0,0.0,7.2,40.0
21.7,-6.1,0.0,0.0,0.0,7.7,40.0
21.75,-6.3,0.0,0.0,0.0,8.2,30.0
21.8,-6.6,0.0,0.0,0.0,6.7,30.0
21.8,-7.0,0.0,0.0,0.0,6.7,40.0
21.75,-7.2,0.0,0.0,0.0,7.7,30.0
21.7,-7.7,0.0,0.0,0.0,6.7,30.0
21.7,-8.3,0.0,0.0,0.0,6.7,30.0
21.65,-8.6,2.0,1.0,0.0,5.7,30.0
21.65,-8.7,15.0,0.0,0.0,5.7,30.0
21.9,-9.0,36.0,1.0,0.0,6.7,30.0
21.950000000000003,-9.0,61.0,1.0,0.0,6.2,30.0
21.75,-9.2,49.0,3.0,0.0,6.2,30.0
21.65,-9.3,41.0,5.0,0.0,6.2,30.0
21.5,-9.6,16.0,3.0,0.0,5.7,30.0
21.45,-9.9,0.0,0.0,0.0,6.7,30.0
21.5,-10.2,0.0,0.0,0.0,6.2,30.0
21.5,-10.3,0.0,0.0,0.0,5.7,30.0
21.5,-10.6,0.0,0.0,0.0,6.2,30.0
21.5,-11.0,0.0,0.0,0.0,5.1,30.0
21.5,-11.4,0.0,0.0,0.0,5.7,30.0
21.5,-11.5,0.0,0.0,0.0,5.1,30.0
21.55,-11.5,0.0,0.0,0.0,4.6,30.0
21.6,-11.5,0.0,0.0,0.0,5.1,30.0
21.55,-11.7,0.0,0.0,0.0,4.1,30.0
21.45,-11.7,2.0,0.0,0.0,3.6,20.0
21.45,-11.4,0.0,0.0,0.0,4.1,30.0
21.45,-11.2,0.0,0.0,0.0,3.6,30.0
21.4,-11.1,0.0,0.0,0.0,3.6,30.0
21.35,-11.1,0.0,0.0,0.0,3.6,30.0
21.35,-11.0,0.0,0.0,0.0,3.6,30.0
21.4,-10.8,0.0,0.0,0.0,4.1,30.0
21.4,-10.8,3.0,0.0,0.0,3.6,30.0
21.4,-10.7,26.0,2.0,0.0,3.6,30.0
21.4,-10.3,60.0,8.0,0.0,3.6,30.0
21.35,-9.9,86.0,39.0,0.0,3.1,30.0
21.25,-9.6,65.0,26.0,0.0,2.6,30.0
21.15,-9.7,39.0,16.0,0.2,5.1,40.0
21.15,-9.7,16.0,3.0,0.0,4.1,30.0
21.15,-9.8,0.0,0.0,0.0,4.6,30.0
21.1,-9.6,1.0,1.0,0.0,4.6,30.0
21.1,-9.4,0.0,0.0,0.0,4.6,30.0
21.200000000000003,-9.4,0.0,0.0,0.0,4.6,30.0
21.35,-9.6,0.0,0.0,0.0,4.6,30.0
21.4,-9.7,0.0,0.0,0.0,5.1,30.0
21.4,-9.8,0.0,0.0,0.0,4.1,30.0
21.5,-9.7,0.0,0.0,0.0,4.6,30.0
21.5,-9.7,0.0,0.0,0.0,4.1,30.0
21.299999999999997,-9.6,0.0,0.0,0.2,4.1,30.0
21.15,-9.8,0.0,0.0,0.0,4.6,30.0
21.1,-10.0,0.0,0.0,0.0,4.1,30.0
21.15,-10.1,0.0,0.0,0.0,4.6,40.0
21.2,-10.0,0.0,0.0,0.0,4.6,30.0
21.2,-10.1,0.0,0.0,0.0,4.6,40.0
21.25,-10.3,0.0,0.0,0.0,4.6,30.0
21.25,-10.4,0.0,0.0,0.0,4.6,40.0
21.15,-10.3,3.0,0.0,0.0,4.6,30.0
21.1,-10.2,42.0,1.0,0.0,4.1,40.0
21.15,-10.2,64.0,8.0,0.0,3.6,40.0
21.2,-10.0,50.0,1.0,0.0,4.1,30.0
21.2,-10.2,45.0,1.0,0.0,3.1,40.0
21.1,-10.2,29.0,1.0,0.0,4.1,40.0
21.1,-10.4,11.0,1.0,0.0,4.1,50.0
21.2,-10.6,0.0,0.0,0.0,3.1,40.0
21.25,-10.6,0.0,0.0,0.0,3.1,40.0
21.3,-10.7,0.0,0.0,0.0,4.1,40.0
21.3,-10.8,0.0,0.0,0.0,4.1,60.0
21.35,-11.1,0.0,0.0,0.2,3.6,40.0
21.45,-11.3,0.0,0.0,0.0,4.6,40.0
21.5,-12.1,0.0,0.0,0.0,5.1,40.0
21.45,-12.9,0.0,0.0,0.0,3.1,30.0
21.299999999999997,-13.4,0.0,0.0,0.0,3.1,30.0
21.1,-13.6,0.0,0.0,0.0,2.6,20.0
21.05,-13.3,0.0,0.0,0.0,4.1,30.0
21.0,-13.3,0.0,0.0,0.0,3.6,30.0
20.9,-13.4,0.0,0.0,0.0,4.1,30.0
20.9,-13.3,0.0,0.0,0.0,4.1,30.0
21.0,-13.0,0.0,0.0,0.0,4.1,40.0
21.05,-12.8,0.0,0.0,0.0,4.6,30.0
21.05,-13.2,0.0,0.0,0.0,3.6,40.0
21.05,-13.7,4.0,1.0,0.0,2.1,30.0
21.05,-13.7,31.0,6.0,0.0,1.5,20.0
21.25,-13.6,29.0,37.0,0.0,1.5,40.0
21.6,-12.7,34.0,76.0,0.0,2.6,30.0
22.0,-12.4,31.0,72.0,0.0,1.5,40.0
22.049999999999997,-12.3,24.0,49.0,0.0,0.0,0.0
21.7,-14.7,8.0,12.0,0.0,0.0,0.0
21.4,-17.7,0.0,0.0,0.0,1.0,220.0
21.35,-18.4,0.0,0.0,0.0,0.0,0.0
21.4,-18.8,0.0,0.0,0.0,0.0,0.0
21.45,-16.0,0.0,0.0,0.0,1.0,210.0
21.5,-13.5,0.0,0.0,0.0,1.0,230.0
21.55,-12.9,0.0,0.0,0.0,1.0,260.0
21.6,-12.2,0.0,0.0,0.0,1.5,310.0
21.6,-12.7,0.0,0.0,0.0,1.0,310.0
21.5,-12.6,0.0,0.0,0.0,0.0,0.0
21.25,-13.7,0.0,0.0,0.0,2.1,30.0
21.05,-14.2,0.0,0.0,0.0,2.6,40.0
20.95,-14.9,0.0,0.0,0.0,2.6,30.0
20.9,-15.6,0.0,0.0,0.0,2.1,30.0
20.85,-16.8,0.0,0.0,0.0,1.0,50.0
20.85,-16.7,0.0,0.0,0.0,1.5,40.0
21.0,-19.9,0.0,0.0,0.0,0.0,0.0
21.05,-20.3,0.0,0.0,0.0,0.0,0.0
20.9,-20.9,2.0,2.0,0.0,0.0,0.0
20.85,-20.8,25.0,7.0,0.0,0.0,0.0
20.95,-19.9,27.0,23.0,0.0,0.0,0.0
21.05,-17.0,32.0,96.0,0.0,0.0,0.0
21.1,-14.1,31.0,88.0,0.0,0.0,0.0
21.0,-14.5,24.0,57.0,0.0,1.5,10.0
20.9,-15.1,13.0,13.0,0.0,1.0,360.0
20.95,-17.1,0.0,0.0,0.0,1.0,350.0
20.85,-17.3,0.0,0.0,0.0,1.5,20.0
20.85,-19.5,0.0,0.0,0.0,0.0,0.0
21.05,-20.1,0.0,0.0,0.0,0.0,0.0
21.15,-20.7,0.0,0.0,0.0,0.0,0.0
21.25,-20.9,0.0,0.0,0.0,0.0,0.0
21.3,-20.6,0.0,0.0,0.0,0.0,0.0
21.3,-20.5,0.0,0.0,0.0,0.0,0.0
21.15,-19.0,0.0,0.0,0.0,1.0,350.0
20.85,-18.3,0.0,0.0,0.0,1.0,360.0
20.65,-18.5,0.0,0.0,0.0,1.0,360.0
20.6,-17.5,0.0,0.0,0.0,1.0,330.0
20.6,-16.9,0.0,0.0,0.0,1.0,330.0
20.55,-17.7,0.0,0.0,0.0,0.0,0.0
20.7,-19.7,0.0,0.0,0.0,0.0,0.0
21.0,-20.5,0.0,0.0,0.0,0.0,0.0
21.05,-19.8,0.0,0.0,0.0,0.0,0.0
20.95,-16.5,1.0,2.0,0.0,0.0,0.0
20.85,-14.3,20.0,1.0,0.0,0.0,0.0
20.85,-12.7,53.0,5.0,0.0,0.0,0.0
20.9,-11.4,61.0,2.0,0.0,1.0,320.0
20.9,-10.3,59.0,1.0,0.0,1.0,320.0
20.95,-9.6,34.0,1.0,0.0,1.0,320.0
20.95,-9.2,8.0,2.0,0.0,1.5,310.0
21.0,-9.3,0.0,0.0,0.0,1.5,320.0
21.0,-9.7,0.0,0.0,0.0,1.5,320.0
20.799999999999997,-14.1,0.0,0.0,0.0,0.0,0.0
20.95,-16.2,0.0,0.0,0.0,0.0,0.0
21.299999999999997,-16.4,0.0,0.0,0.0,0.0,0.0
21.4,-18.1,0.0,0.0,0.0,0.0,0.0
21.4,-19.0,0.0,0.0,0.0,0.0,0.0
21.45,-19.0,0.0,0.0,0.0,0.0,0.0
21.25,-18.1,0.0,0.0,0.0,0.0,0.0
20.9,-16.8,0.0,0.0,0.0,0.0,0.0
20.700000000000003,-15.9,0.0,0.0,0.0,0.0,0.0
20.6,-11.6,0.0,0.0,0.0,0.0,0.0
20.65,-9.1,0.0,0.0,0.0,1.0,280.0
20.799999999999997,-8.7,0.0,0.0,0.0,1.5,290.0
21.0,-8.6,0.0,0.0,0.2,0.0,0.0
21.200000000000003,-8.1,0.0,0.0,0.2,2.1,240.0
21.3,-7.3,0.0,0.0,0.0,0.0,0.0
21.200000000000003,-7.4,1.0,0.0,0.0,1.0,250.0
21.200000000000003,-6.5,15.0,0.0,0.0,0.0,0.0
21.3,-6.0,35.0,-2.0,0.0,1.0,280.0
21.25,-5.3,76.0,-1.0,0.0,0.0,0.0
21.2,-5.0,37.0,1.0,0.0,1.0,210.0
21.2,-4.8,24.0,0.0,0.0,1.5,220.0
21.25,-4.8,7.0,1.0,0.0,1.5,210.0
21.25,-4.8,0.0,0.0,0.0,1.5,220.0
21.299999999999997,-4.7,0.0,0.0,0.0,1.0,220.0
21.35,-4.9,0.0,0.0,0.0,1.0,210.0
